player_id,prediction_period_id,m6_features
oe:player:046795fa30debe19eafd497dba544e3,period:3921ed3cc984afb56c50,"{""bo_format_context"": 8.0, ""canonical_matchup_probability"": 0.44157969, ""playstyle_class_1_probability"": NaN, ""playstyle_class_2_probability"": NaN, ""playstyle_uncertainty"": NaN, ""playstyle_unknown_probability"": NaN, ""prior_above_role_median_rate"": 0.5, ""prior_champion_observation_count"": 0.0, ""prior_core_state"": -0.6682620343559643, ""prior_effective_evidence"": 0.0, ""prior_median_performance"": 15.228, ""prior_player_rating"": 1500.0, ""prior_q25_performance"": 15.228, ""prior_raw_observation_count"": 0.0, ""prior_residual_uncertainty"": 1.6606601717798213, ""prior_role_adjusted_kp"": 0.0, ""prior_role_relative_rating"": 0.0, ""prior_starter_reliability"": 0.5, ""prior_team_state"": -0.7083066557453351, ""prior_team_strength"": -0.3006260761870516, ""schedule_opponent_context"": 2.0, ""playstyle_applicable"": 0.0}"
oe:player:09d60b7619558098c8be8459e6061b9,period:3921ed3cc984afb56c50,"{""bo_format_context"": 16.0, ""canonical_matchup_probability"": 0.47029216, ""playstyle_class_1_probability"": NaN, ""playstyle_class_2_probability"": NaN, ""playstyle_uncertainty"": NaN, ""playstyle_unknown_probability"": NaN, ""prior_above_role_median_rate"": 1.0, ""prior_champion_observation_count"": 1.0, ""prior_core_state"": 0.3294665698821948, ""prior_effective_evidence"": 1.0, ""prior_median_performance"": 21.33, ""prior_player_rating"": 1509.7980037057173, ""prior_q25_performance"": 21.33, ""prior_raw_observation_count"": 1.0, ""prior_residual_uncertainty"": 0.7071067811865476, ""prior_role_adjusted_kp"": 0.1259042284305598, ""prior_role_relative_rating"": 0.09798003705717218, ""prior_starter_reliability"": 0.5582844872386903, ""prior_team_state"": -0.30875758191525665, ""prior_team_strength"": -0.14049752546800195, ""schedule_opponent_context"": 4.0, ""playstyle_applicable"": 0.0}"
oe:player:10fcffece0ac7be85f09c4b51a75762,period:3921ed3cc984afb56c50,"{""bo_format_context"": 12.0, ""canonical_matchup_probability"": 0.56495235, ""playstyle_class_1_probability"": NaN, ""playstyle_class_2_probability"": NaN, ""playstyle_uncertainty"": NaN, ""playstyle_unknown_probability"": NaN, ""prior_above_role_median_rate"": 0.6837264719796334, ""prior_champion_observation_count"": 141.0, ""prior_core_state"": 0.11951419807952747, ""prior_effective_evidence"": 90.9168677878908, ""prior_median_performance"": 20.137, ""prior_player_rating"": 1516.2073604275258, ""prior_q25_performance"": 11.7, ""prior_raw_observation_count"": 141.0, ""prior_residual_uncertainty"": 0.1, ""prior_role_adjusted_kp"": -0.09958699111627874, ""prior_role_relative_rating"": 0.1620736042752572, ""prior_starter_reliability"": 0.9494204986882672, ""prior_team_state"": -0.26364562946655995, ""prior_team_strength"": 0.030635929125016947, ""schedule_opponent_context"": 3.0, ""playstyle_applicable"": 0.0}"
oe:player:51d421a31ce72460198ef946995fb11,period:3921ed3cc984afb56c50,"{""bo_format_context"": 8.0, ""canonical_matchup_probability"": 0.5176935, ""playstyle_class_1_probability"": NaN, ""playstyle_class_2_probability"": NaN, ""playstyle_uncertainty"": NaN, ""playstyle_unknown_probability"": NaN, ""prior_above_role_median_rate"": 0.3328568056336417, ""prior_champion_observation_count"": 89.0, ""prior_core_state"": -0.5815293098636897, ""prior_effective_evidence"": 59.342102433328996, ""prior_median_performance"": 11.34, ""prior_player_rating"": 1478.3603446608656, ""prior_q25_performance"": 4.85, ""prior_raw_observation_count"": 89.0, ""prior_residual_uncertainty"": 0.1032765097675937, ""prior_role_adjusted_kp"": -0.22054846315838295, ""prior_role_relative_rating"": -0.216396553391344, ""prior_starter_reliability"": 0.9249946671093461, ""prior_team_state"": -0.5432517169303966, ""prior_team_strength"": -0.09050075060619484, ""schedule_opponent_context"": 2.0, ""playstyle_applicable"": 0.0}"
oe:player:73d2b65353d7b00e0f198ffdc085edc,period:3921ed3cc984afb56c50,"{""bo_format_context"": 12.0, ""canonical_matchup_probability"": NaN, ""playstyle_class_1_probability"": NaN, ""playstyle_class_2_probability"": NaN, ""playstyle_uncertainty"": NaN, ""playstyle_unknown_probability"": NaN, ""prior_above_role_median_rate"": 0.6330888333391205, ""prior_champion_observation_count"": 133.0, ""prior_core_state"": NaN, ""prior_effective_evidence"": 88.52039555010555, ""prior_median_performance"": 18.283, ""prior_player_rating"": 1507.4621695680141, ""prior_q25_performance"": 9.770000000000001, ""prior_raw_observation_count"": 133.0, ""prior_residual_uncertainty"": 0.1, ""prior_role_adjusted_kp"": 0.029205562505168935, ""prior_role_relative_rating"": 0.0746216956801404, ""prior_starter_reliability"": 0.9494167305173583, ""prior_team_state"": NaN, ""prior_team_strength"": NaN, ""schedule_opponent_context"": 3.0, ""playstyle_applicable"": 0.0}"
oe:player:91a74fa03f163055a19da5b16363fc8,period:3921ed3cc984afb56c50,"{""bo_format_context"": 12.0, ""canonical_matchup_probability"": 0.53758022, ""playstyle_class_1_probability"": NaN, ""playstyle_class_2_probability"": NaN, ""playstyle_uncertainty"": NaN, ""playstyle_unknown_probability"": NaN, ""prior_above_role_median_rate"": 0.36942289476738377, ""prior_champion_observation_count"": 116.0, ""prior_core_state"": -0.5431979421193064, ""prior_effective_evidence"": 66.39675227537688, ""prior_median_performance"": 10.239, ""prior_player_rating"": 1484.298431795336, ""prior_q25_performance"": 5.68, ""prior_raw_observation_count"": 116.0, ""prior_residual_uncertainty"": 0.10464234891658619, ""prior_role_adjusted_kp"": -0.13225628074478066, ""prior_role_relative_rating"": -0.15701568204663904, ""prior_starter_reliability"": 0.9252898280082875, ""prior_team_state"": -0.28748819012211757, ""prior_team_strength"": 0.061869047982685006, ""schedule_opponent_context"": 3.0, ""playstyle_applicable"": 0.0}"
oe:player:b57dad2e02488237bab9f06f7bb9f54,period:3921ed3cc984afb56c50,"{""bo_format_context"": 12.0, ""canonical_matchup_probability"": 0.50606881, ""playstyle_class_1_probability"": NaN, ""playstyle_class_2_probability"": NaN, ""playstyle_uncertainty"": NaN, ""playstyle_unknown_probability"": NaN, ""prior_above_role_median_rate"": 0.5615194572147651, ""prior_champion_observation_count"": 39.0, ""prior_core_state"": -0.18317597671491503, ""prior_effective_evidence"": 38.66771878748693, ""prior_median_performance"": 17.58, ""prior_player_rating"": 1497.5133925022474, ""prior_q25_performance"": 8.773, ""prior_raw_observation_count"": 39.0, ""prior_residual_uncertainty"": 0.143383025531148, ""prior_role_adjusted_kp"": -0.36017018487160857, ""prior_role_relative_rating"": -0.024866074977526124, ""prior_starter_reliability"": 0.9145573740535171, ""prior_team_state"": -0.3319168472245776, ""prior_team_strength"": -0.01497563419260551, ""schedule_opponent_context"": 3.0, ""playstyle_applicable"": 0.0}"
oe:player:ba7c563a5425bd6886dab195a0cd6d0,period:3921ed3cc984afb56c50,"{""bo_format_context"": 16.0, ""canonical_matchup_probability"": 0.48974748, ""playstyle_class_1_probability"": NaN, ""playstyle_class_2_probability"": NaN, ""playstyle_uncertainty"": NaN, ""playstyle_unknown_probability"": NaN, ""prior_above_role_median_rate"": 0.31825896407052057, ""prior_champion_observation_count"": 80.0, ""prior_core_state"": -0.7243167842988504, ""prior_effective_evidence"": 49.69084116610933, ""prior_median_performance"": 8.67, ""prior_player_rating"": 1472.1014331411932, ""prior_q25_performance"": 4.018000000000001, ""prior_raw_observation_count"": 80.0, ""prior_residual_uncertainty"": 0.11423369106256508, ""prior_role_adjusted_kp"": -0.34825101336009995, ""prior_role_relative_rating"": -0.2789856685880681, ""prior_starter_reliability"": 0.894460830949156, ""prior_team_state"": -0.5660875054842105, ""prior_team_strength"": -0.16130430458764938, ""schedule_opponent_context"": 4.0, ""playstyle_applicable"": 0.0}"
oe:player:c62a5235ad6bc113a1e64eb0e9aa8c8,period:3921ed3cc984afb56c50,"{""bo_format_context"": 12.0, ""canonical_matchup_probability"": NaN, ""playstyle_class_1_probability"": NaN, ""playstyle_class_2_probability"": NaN, ""playstyle_uncertainty"": NaN, ""playstyle_unknown_probability"": NaN, ""prior_above_role_median_rate"": 0.5, ""prior_champion_observation_count"": 0.0, ""prior_core_state"": NaN, ""prior_effective_evidence"": 0.0, ""prior_median_performance"": 15.228, ""prior_player_rating"": 1500.0, ""prior_q25_performance"": 15.228, ""prior_raw_observation_count"": 0.0, ""prior_residual_uncertainty"": 1.6606601717798213, ""prior_role_adjusted_kp"": 0.0, ""prior_role_relative_rating"": 0.0, ""prior_starter_reliability"": 0.5, ""prior_team_state"": NaN, ""prior_team_strength"": NaN, ""schedule_opponent_context"": 3.0, ""playstyle_applicable"": 0.0}"
oe:player:c79ce9ec47a91226340af0e57afa782,period:3921ed3cc984afb56c50,"{""bo_format_context"": 12.0, ""canonical_matchup_probability"": 0.48212262, ""playstyle_class_1_probability"": NaN, ""playstyle_class_2_probability"": NaN, ""playstyle_uncertainty"": NaN, ""playstyle_unknown_probability"": NaN, ""prior_above_role_median_rate"": 0.44415574163956295, ""prior_champion_observation_count"": 59.0, ""prior_core_state"": -0.44974817546306034, ""prior_effective_evidence"": 53.96274472595526, ""prior_median_performance"": 12.095, ""prior_player_rating"": 1490.1403837449118, ""prior_q25_performance"": 5.919, ""prior_raw_observation_count"": 59.0, ""prior_residual_uncertainty"": 0.1301510963061603, ""prior_role_adjusted_kp"": -0.07224153257047704, ""prior_role_relative_rating"": -0.09859616255088202, ""prior_starter_reliability"": 0.9259552095997113, ""prior_team_state"": -0.5090364474282333, ""prior_team_strength"": -0.11103743340914826, ""schedule_opponent_context"": 3.0, ""playstyle_applicable"": 0.0}"
oe:player:f6b8af05a5af22004a67a78f3046b92,period:3921ed3cc984afb56c50,"{""bo_format_context"": 12.0, ""canonical_matchup_probability"": NaN, ""playstyle_class_1_probability"": NaN, ""playstyle_class_2_probability"": NaN, ""playstyle_uncertainty"": NaN, ""playstyle_unknown_probability"": NaN, ""prior_above_role_median_rate"": 0.5, ""prior_champion_observation_count"": 0.0, ""prior_core_state"": NaN, ""prior_effective_evidence"": 0.0, ""prior_median_performance"": 15.228, ""prior_player_rating"": 1500.0, ""prior_q25_performance"": 15.228, ""prior_raw_observation_count"": 0.0, ""prior_residual_uncertainty"": 1.6606601717798213, ""prior_role_adjusted_kp"": 0.0, ""prior_role_relative_rating"": 0.0, ""prior_starter_reliability"": 0.5, ""prior_team_state"": NaN, ""prior_team_strength"": NaN, ""schedule_opponent_context"": 3.0, ""playstyle_applicable"": 0.0}"
